[quest]|en|fi|pt|ru|zh|ja|ko|de
quest_objective_1043_1|Ghost skeleton|Haamuluurankoa|Esqueleto fantasma|Призрачный скелет|鬼骨架|ゴーストスケルトン|유령 해골|Geisterskelett
quest_objective_1043_2|Ghost archer|Haamujousiampujaa|Arqueiro fantasma|Призрачный лучник|幽灵弓箭手|ゴーストアーチャー|유령 아처|Geisterbogenschütze
quest_objective_1043_3|Armored knight|Haarniskaritaria|Cavaleiro blindado|Бронированный рыцарь|装甲的骑士|装甲騎士|기갑 기사|Gepanzerter Ritter
quest_objective_1043_4|Headless butler|Päätöntä hovimestaria|Mordomo sem cabeça|Безголовый дворецкий|无头管家|首なし執事|헤드리스 버틀러|Kopfloser Butler
||||||||
quest_name_1044|Master of Destruction|Tuhon mestari|Mestre da destruição|Мастер Разрушения|毁灭大师|破壊のマスター|파괴의 대가|Meister der Zerstörung
quest_description_1044|Kill Mevius in Act VII.|Surmaa Mevius tasossa VII.|Mate Mevius no ATO VII.|Убей Мевия в акте VII.|在第七幕中杀死 梅维乌斯。|幕 VII でメビウスを倒す。|행위 VII에서 메비우스를 처치하십시오.|Töte Mevius in Akt VII.
quest_objective_1044_1|Mevius killed|Mevius surmattu|Mevius morto|Мевий убит|梅维乌斯被杀|メビウスは殺された|메비우스 사망|Mevius getötet
||||||||
||||||||
||||||||
[quest casting]||||||||
quest_cook_meat|Cook Meat|||||||
quest_cook_meat_action|Cooking delicious hog meat|||||||
quest_dirt_dig|Dig|||||||
quest_dirt_dig_action|Digging up dirt|||||||
quest_lift_water|Use Well|||||||
quest_lift_water_action|Lifting water from river Gjöll|||||||
quest_potion_cauldron|Conjure Potion|||||||
quest_potion_cauldron_action|Boiling ingredients|||||||
quest_attach_wheel|Attach Wheel|||||||
quest_attach_wheel_action|Attaching wheel|||||||
quest_harvest_pumpkin_action|Harvesting pumpkin|||||||
quest_harvest_pumpkin|Pumpkin?|||||||
quest_cook_maggot_stew|Boil the ingredients|||||||
quest_cooking_maggot_stew|Making Maggot stew|||||||
quest_gathering_herb|Gathering herbs...|||||||
quest_gather_ginseng|Collect ginseng plant|||||||
quest_gather_frost_dill|Collect Frost Dill|||||||
quest_gather_loska|Collect Loska|||||||
quest_gather_vermroot|Collect Vermroot|||||||
quest_gather_fanglen|Collect Fanglen|||||||
quest_inspect_track|Inspect track|||||||
quest_inspecting|Inspecting...|||||||
quest_skin_carnage|Skin Carnage's Hide|||||||
quest_skinning|Skinning...|||||||
quest_gather_devils_cabbage|Collect Devil's Cabbage|||||||
quest_inspect_cart|Inspect Mining Cart|||||||
quest_mend_hurrdurr|Attempt to heal Hurrdurr|||||||
quest_mending_hurrdurr|Trying to save Hurrdurr|||||||
quest_collect_bamboo|Rip Bamboo Sticks|||||||
quest_collecting_bamboo|Taking sturdy bamboo|||||||
quest_craft_rod|Craft Sturdy Fishing Rod|||||||
quest_using_workbench|Crafting...|||||||
quest_collect_spiderweb|Collect Spiderweb|||||||
quest_collecting|Collecting...|||||||
quest_inspect_metal_hook|Inspect Metal Hook|||||||
quest_harvest_soul|Harvest Damned Soul|||||||
quest_harvesting_soul|Harvesting soul...|||||||
quest_seal_grave|Bless the Eternal Chalice|||||||
quest_seal_grave_action|Purifying Damned Souls|||||||
